河川名,河川コード,ヨミガナ
天塩川,810101,テシオガワ
留萌川,810102,ルモイガワ
石狩川,810103,イシカリガワ
尻別川,810104,シリベツガワ
後志利別川,810105,シリベシトシベツガワ
鵡川,810106,ムカワ
沙流川,810107,サルガワ
十勝川,810108,トカチガワ
釧路川,810109,クシロガワ
網走川,810110,アバシリガワ
常呂川,810111,トコロガワ
湧別川,810112,ユウベツガワ
渚滑川,810113,ショコツガワ
阿武隈川,820201,アブクマガワ
名取川,820202,ナトリガワ
鳴瀬川,820203,ナルセガワ
北上川,820204,キタカミガワ
馬淵川,820205,マベチガワ
高瀬川,820206,タカセガワ
岩木川,820207,イワキガワ
米代川,820208,ヨネシロガワ
雄物川,820209,オモノガワ
子吉川,820210,コヨシガワ
最上川,820211,モガミガワ
赤川,820212,アカガワ
久慈川,830301,クジカワ
那珂川,830302,ナカガワ
利根川,830303,トネカワ
荒川,830304,アラカワ
多摩川,830305,タマカワ
鶴見川,830306,ツルミガワ
相模川,830307,サガミカワ
富士川,830308,フジカワ
荒川,840401,アラカワ
阿賀野川,840402,アガノガワ
信濃川,840403,シナノガワ
関川,840404,セキカワ
姫川,840405,ヒメカワ
黒部川,840406,クロベカワ
常願寺川,840407,ジヨウガンジガワ
神通川,840408,ジンヅウガワ
庄川,840409,シヨウガワ
小矢部川,840410,オヤベガワ
手取川,840411,テドリガワ
梯川,840412,カケハシガワ
狩野川,850501,カノガワ
安倍川,850502,アベカワ
大井川,850503,オオイガワ
菊川,850504,キクガワ
天竜川,850505,テンリユウガワ
豊川,850506,トヨガワ
矢作川,850507,ヤハギガワ
庄内川,850508,シヨウナイガワ
木曽川,850509,キソガワ
鈴鹿川,850510,スズカガワ
雲出川,850511,クモズガワ
櫛田川,850512,クシダガワ
宮川,850513,ミヤガワ
熊野川,860601,クマノガワ
紀の川,860602,キノカワ
大和川,860603,ヤマトガワ
淀川,860604,ヨドガワ
加古川,860605,カコガワ
揖保川,860606,イボガワ
九頭竜川,860607,クズリュウガワ
北川,860608,キタガワ
由良川,860609,ユラガワ
円山川,860610,マルヤマガワ
千代川,870701,センダイガワ
天神川,870702,テンジンガワ
日野川,870703,ヒノガワ
斐伊川,870704,ヒイカワ
江の川,870705,ゴウノカワ
高津川,870706,タカツガワ
佐波川,870707,サバガワ
小瀬川,870708,オゼガワ
太田川,870709,オオタガワ
芦田川,870710,アシダガワ
高梁川,870711,タカハシガワ
旭川,870712,アサヒガワ
吉井川,870713,ヨシイガワ
重信川,880801,シゲノブガワ
肱川,880802,ヒジカワ
渡川,880803,ワタリガワ
仁淀川,880804,ニヨドガワ
物部川,880805,モノベガワ
那賀川,880806,ナカガワ
吉野川,880807,ヨシノガワ
土器川,880808,ドキガワ
遠賀川,890901,オンガガワ
松浦川,890902,マツウラガワ
本明川,890903,ホンミヨウガワ
六角川,890904,ロツカクガワ
嘉瀬川,890905,カセガワ
筑後川,890906,チクゴガワ
矢部川,890907,ヤベガワ
菊池川,890908,キクチガワ
白川,890909,シラカワ
緑川,890910,ミドリカワ
球磨川,890911,クマガワ
川内川,890912,センダイガワ
肝属川,890913,キモツキガワ
大淀川,890914,オオヨドガワ
小丸川,890915,オマルガワ
五ヶ瀬川,890916,ゴカセガワ
番匠川,890917,バンジョウガワ
大野川,890918,オオノガワ
大分川,890919,オオイタガワ
山国川,890920,ヤマクニガワ